SRID	NAME	PROJ
2000	Anguilla 1957 / British West Indies Grid	+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.999500 +x_0=400000 +y_0=0 +ellps=clrk80 +units=m +no_defs 
2001	Antigua 1943 / British West Indies Grid	+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.999500 +x_0=400000 +y_0=0 +ellps=clrk80 +towgs84=-255,-15,71,0,0,0,0 +units=m +no_defs 
2002	Dominica 1945 / British West Indies Grid	+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.999500 +x_0=400000 +y_0=0 +ellps=clrk80 +towgs84=725,685,536,0,0,0,0 +units=m +no_defs 
2003	Grenada 1953 / British West Indies Grid	+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.999500 +x_0=400000 +y_0=0 +ellps=clrk80 +towgs84=72,213.7,93,0,0,0,0 +units=m +no_defs 
2004	Montserrat 58 / British West Indies Grid	+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.999500 +x_0=400000 +y_0=0 +ellps=clrk80 +towgs84=174,359,365,0,0,0,0 +units=m +no_defs 
2005	St Kitts 1955 / British West Indies Grid	+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.999500 +x_0=400000 +y_0=0 +ellps=clrk80 +towgs84=9,183,236,0,0,0,0 +units=m +no_defs 
2006	St Lucia 1955 / British West Indies Grid	+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.999500 +x_0=400000 +y_0=0 +ellps=clrk80 +towgs84=-149,128,296,0,0,0,0 +units=m +no_defs 
2007	St Vincent 45 / British West Indies Grid	+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.999500 +x_0=400000 +y_0=0 +ellps=clrk80 +towgs84=195.671,332.517,274.607,0,0,0,0 +units=m +no_defs 
2008	NAD27(CGQ77) / SCoPQ zone 2	+proj=tmerc +lat_0=0 +lon_0=-55.5 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2009	NAD27(CGQ77) / SCoPQ zone 3	+proj=tmerc +lat_0=0 +lon_0=-58.5 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2010	NAD27(CGQ77) / SCoPQ zone 4	+proj=tmerc +lat_0=0 +lon_0=-61.5 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2011	NAD27(CGQ77) / SCoPQ zone 5	+proj=tmerc +lat_0=0 +lon_0=-64.5 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2012	NAD27(CGQ77) / SCoPQ zone 6	+proj=tmerc +lat_0=0 +lon_0=-67.5 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2013	NAD27(CGQ77) / SCoPQ zone 7	+proj=tmerc +lat_0=0 +lon_0=-70.5 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2014	NAD27(CGQ77) / SCoPQ zone 8	+proj=tmerc +lat_0=0 +lon_0=-73.5 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2015	NAD27(CGQ77) / SCoPQ zone 9	+proj=tmerc +lat_0=0 +lon_0=-76.5 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2016	NAD27(CGQ77) / SCoPQ zone 10	+proj=tmerc +lat_0=0 +lon_0=-79.5 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2017	NAD27(76) / MTM zone 8	+proj=tmerc +lat_0=0 +lon_0=-73.5 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2018	NAD27(76) / MTM zone 9	+proj=tmerc +lat_0=0 +lon_0=-76.5 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2019	NAD27(76) / MTM zone 10	+proj=tmerc +lat_0=0 +lon_0=-79.5 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2020	NAD27(76) / MTM zone 11	+proj=tmerc +lat_0=0 +lon_0=-82.5 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2021	NAD27(76) / MTM zone 12	+proj=tmerc +lat_0=0 +lon_0=-81 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2022	NAD27(76) / MTM zone 13	+proj=tmerc +lat_0=0 +lon_0=-84 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2023	NAD27(76) / MTM zone 14	+proj=tmerc +lat_0=0 +lon_0=-87 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2024	NAD27(76) / MTM zone 15	+proj=tmerc +lat_0=0 +lon_0=-90 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2025	NAD27(76) / MTM zone 16	+proj=tmerc +lat_0=0 +lon_0=-93 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2026	NAD27(76) / MTM zone 17	+proj=tmerc +lat_0=0 +lon_0=-96 +k=0.999900 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs 
2027	NAD27(76) / UTM zone 15N	+proj=utm +zone=15 +ellps=clrk66 +units=m +no_defs
2028	NAD27(76) / UTM zone 16N	+proj=utm +zone=16 +ellps=clrk66 +units=m +no_defs
2029	NAD27(76) / UTM zone 17N	+proj=utm +zone=17 +ellps=clrk66 +units=m +no_defs
2030	NAD27(76) / UTM zone 18N	+proj=utm +zone=18 +ellps=clrk66 +units=m +no_defs
2031	NAD27(CGQ77) / UTM zone 17N	+proj=utm +zone=17 +ellps=clrk66 +units=m +no_defs
2032	NAD27(CGQ77) / UTM zone 18N	+proj=utm +zone=18 +ellps=clrk66 +units=m +no_defs
2033	NAD27(CGQ77) / UTM zone 19N	+proj=utm +zone=19 +ellps=clrk66 +units=m +no_defs
2034	NAD27(CGQ77) / UTM zone 20N	+proj=utm +zone=20 +ellps=clrk66 +units=m +no_defs
2035	NAD27(CGQ77) / UTM zone 21N	+proj=utm +zone=21 +ellps=clrk66 +units=m +no_defs
2036	NAD83(CSRS98) / New Brunswick Stereo	+proj=stere +lat_0=46.5 +lon_0=-66.5 +k=0.999912 +x_0=2500000 +y_0=7500000 +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs 
2037	NAD83(CSRS98) / UTM zone 19N	+proj=utm +zone=19 +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs 
2038	NAD83(CSRS98) / UTM zone 20N	+proj=utm +zone=20 +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs 
2039	Israel / Israeli TM Grid	+proj=tmerc +lat_0=31.73439361111111 +lon_0=35.20451694444445 +k=1.000007 +x_0=219529.584 +y_0=626907.39 +ellps=GRS80 +units=m +no_defs 
2040	Locodjo 1965 / UTM zone 30N	+proj=utm +zone=30 +ellps=clrk80 +towgs84=-125,53,467,0,0,0,0 +units=m +no_defs 
2041	Abidjan 1987 / UTM zone 30N	+proj=utm +zone=30 +ellps=clrk80 +towgs84=-124.76,53,466.79,0,0,0,0 +units=m +no_defs 
2042	Locodjo 1965 / UTM zone 29N	+proj=utm +zone=29 +ellps=clrk80 +towgs84=-125,53,467,0,0,0,0 +units=m +no_defs 
2043	Abidjan 1987 / UTM zone 29N	+proj=utm +zone=29 +ellps=clrk80 +towgs84=-124.76,53,466.79,0,0,0,0 +units=m +no_defs 
2044	Hanoi 1972 / Gauss-Kruger zone 18	+proj=tmerc +lat_0=0 +lon_0=105 +k=1.000000 +x_0=18500000 +y_0=0 +ellps=krass +towgs84=-17.51,-108.32,-62.39,0,0,0,0 +units=m +no_defs 
2045	Hanoi 1972 / Gauss-Kruger zone 19	+proj=tmerc +lat_0=0 +lon_0=111 +k=1.000000 +x_0=19500000 +y_0=0 +ellps=krass +towgs84=-17.51,-108.32,-62.39,0,0,0,0 +units=m +no_defs 
2046	Hartebeesthoek94 / Lo15	+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs 
2047	Hartebeesthoek94 / Lo17	+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs 
2048	Hartebeesthoek94 / Lo19	+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs 
2049	Hartebeesthoek94 / Lo21	+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs 
2050	Hartebeesthoek94 / Lo23	+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs 
2051	Hartebeesthoek94 / Lo25	+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs 
2052	Hartebeesthoek94 / Lo27	+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs 
2053	Hartebeesthoek94 / Lo29	+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs 
2054	Hartebeesthoek94 / Lo31	+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs 
2055	Hartebeesthoek94 / Lo33	+proj=longlat +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs 
2056	CH1903+ / LV95	+proj=somerc +lat_0=46.95240555555556 +lon_0=7.439583333333333 +x_0=2600000 +y_0=1200000 +ellps=bessel +towgs84=674.374,15.056,405.346,0,0,0,0 +units=m +no_defs 
2057	Rassadiran / Nakhl e Taqi	+proj=omerc +lat_0=27.51882880555555 +lonc=52.60353916666667 +alpha=0.5716611944444444 +k=0.999895934 +x_0=658377.437 +y_0=3044969.194 +ellps=intl +towgs84=-133.63,-157.5,-158.62,0,0,0,0 +units=m +no_defs 
2058	ED50(ED77) / UTM zone 38N	+proj=utm +zone=38 +ellps=intl +units=m +no_defs
2059	ED50(ED77) / UTM zone 39N	+proj=utm +zone=39 +ellps=intl +units=m +no_defs
2060	ED50(ED77) / UTM zone 40N	+proj=utm +zone=40 +ellps=intl +units=m +no_defs
2061	ED50(ED77) / UTM zone 41N	+proj=utm +zone=41 +ellps=intl +units=m +no_defs
2062	Madrid 1870 (Madrid) / Spain	+proj=lcc +lat_1=40 +lat_0=40 +lon_0=3.687938888888889 +k_0=0.9988085293 +x_0=600000 +y_0=600000 +a=6378298.3 +b=6356657.142669562 +pm=madrid +units=m +no_defs 
2063	Dabola 1981 / UTM zone 28N	+proj=utm +zone=28 +a=6378249.2 +b=6356515 +towgs84=-23,259,-9,0,0,0,0 +units=m +no_defs 
2064	Dabola 1981 / UTM zone 29N	+proj=utm +zone=29 +a=6378249.2 +b=6356515 +towgs84=-23,259,-9,0,0,0,0 +units=m +no_defs 
2065	S-JTSK (Ferro) / Krovak	+proj=krovak +lat_0=49.5 +lon_0=60.16666666666667 +alpha=30.28813972222222 +k=0.9999 +x_0=0 +y_0=0 +ellps=bessel +pm=ferro +units=m +no_defs 
2066	Mount Dillon / Tobago Grid	+proj=cass +lat_0=11.25217861111111 +lon_0=-60.68600888888889 +x_0=37718.66154375 +y_0=36209.915082 +a=6378293.63683822 +b=6356617.979337744 +to_meter=0.2011661949 +no_defs 
2067	Naparima 1955 / UTM zone 20N	+proj=utm +zone=20 +ellps=intl +units=m +no_defs
2068	ELD79 / Libya zone 5	+proj=tmerc +lat_0=0 +lon_0=9 +k=0.999900 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs 
2069	ELD79 / Libya zone 6	+proj=tmerc +lat_0=0 +lon_0=11 +k=0.999900 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs 
2070	ELD79 / Libya zone 7	+proj=tmerc +lat_0=0 +lon_0=13 +k=0.999900 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs 
2071	ELD79 / Libya zone 8	+proj=tmerc +lat_0=0 +lon_0=15 +k=0.999900 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs 
2072	ELD79 / Libya zone 9	+proj=tmerc +lat_0=0 +lon_0=17 +k=0.999900 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs 
2073	ELD79 / Libya zone 10	+proj=tmerc +lat_0=0 +lon_0=19 +k=0.999900 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs 
2074	ELD79 / Libya zone 11	+proj=tmerc +lat_0=0 +lon_0=21 +k=0.999900 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs 
2075	ELD79 / Libya zone 12	+proj=tmerc +lat_0=0 +lon_0=23 +k=0.999900 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs 
2076	ELD79 / Libya zone 13	+proj=tmerc +lat_0=0 +lon_0=25 +k=0.999900 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs 
2077	ELD79 / UTM zone 32N	+proj=utm +zone=32 +ellps=intl +units=m +no_defs
2078	ELD79 / UTM zone 33N	+proj=utm +zone=33 +ellps=intl +units=m +no_defs
2079	ELD79 / UTM zone 34N	+proj=utm +zone=34 +ellps=intl +units=m +no_defs
2080	ELD79 / UTM zone 35N	+proj=utm +zone=35 +ellps=intl +units=m +no_defs
2081	Chos Malal 1914 / Argentina zone 2	+proj=tmerc +lat_0=-90 +lon_0=-69 +k=1.000000 +x_0=2500000 +y_0=0 +ellps=intl +units=m +no_defs 
2082	Pampa del Castillo / Argentina zone 2	+proj=tmerc +lat_0=-90 +lon_0=-69 +k=1.000000 +x_0=2500000 +y_0=0 +ellps=intl +units=m +no_defs 
2083	Hito XVIII 1963 / Argentina zone 2	+proj=tmerc +lat_0=-90 +lon_0=-69 +k=1.000000 +x_0=2500000 +y_0=0 +ellps=intl +units=m +no_defs 
2084	Hito XVIII 1963 / UTM zone 19S	+proj=utm +zone=19 +south +ellps=intl +units=m +no_defs
